*【纪录片】,299
1924,224
1929,6702
1938,1116
1941,180
1950s,331
1960s,191
1968,299
1970,4065
1970s,3112
1971,161
1972,1230
1974,4707
1976,663
1977,3319
1979,343
1980,4548
1980s,4086
1981,4308
1983,1496
1984,558
1986,383
1988,450
1990,1457
1990s,5115
1991,2408
1993,1552
1994,1686
1995,5881
1996,606
1997,510
1998,3295
1999,876
270,318
2NE1,239
30SecondstoMars,227
3D,10976
49Up,4199
60's,165
731,2274
90年代,804
911,168
ABC,344
ACI,213
AI,471
AKB48,2444
ARASHI,770
AamirKhan,279
AdamCurtis,616
Adam_Curtis,196
AgnèsVarda,2109
AlPacino,668
Al_Pacino,153
AlastairSooke,248
AleksandrSokurov,373
Aleksandr_Sokurov,373
AlexanderMcQueen,248
AllenIverson,471
AlphaGo,1427
America野性南美洲,336
AndreiTarkovsky,829
Andrei_Tarkovsky,450
AndrewGarfield,1978
AnnieLeibovitz,2810
AnthonyAndrews,148
Architecture,2102
Art,1253
ArtourAristakisian,124
Artour_Aristakisian,124
AudreyHepburn,168
BBC-Documentary,5529
BBC/ITV,766
BBC、国家地理、探索频道、其他纪录片,983
BBC纪录,884
BBC纪录片,23443
BEATLES,1837
BTS,599
BVB,252
Baraka,22209
BarbaraKopple,663
Beatles,826
BenedictCumberbatch,12832
Berlin,287
Bill-Cunningham,9272
BillCunningham,9272
BlackMetal,916
Blizzard,733
Brain,607
BrianCox,3843
Britain,244
Broadway,436
Bruce_Parry,340
C.N.Blue,202
CBA,268
CBS,412
CCTV9,15561
CNBLUE,202
CNN,283
Caribbean,233
CarlSagan,325
CateBlanchett,387
Cate_Blanchett,387
Chanel,134
Channel4,190
CharleyBoorman,691
Chomsky,147
ChrisMarker,678
Chris_Marker,678
Cirque.du.Soleil,147
ClaudeLanzmann,1088
ColinFirth,592
Cooking,1308
C罗,193
DC,435
DFB,1208
DW,312
DanielCraig,1182
David-Attenborough,12382
DavidAttenborough,1364
DavidFincher,1978
DavidSuchet,616
DavidTennant,10028
Days,3868
DenzelWashington,145
Design,3279
Deutsch,2467
Dimensions,2012
Discovery,44006
Disney,3332
DisneyNature,5557
DoctorWho,312
Documentary记录片,236
DomhnallGleeson,192
Dusan_Hanák,1230
Dziga_Vertov,6702
D罗恩·弗里克,15864
ES,773
Earth,7407
EddieRedmayne,168
EdgarReitz,178
Edgar_Reitz,178
EllenPage,2609
English-linguistics,396
EthanHawke,1682
Europe,225
EwanMcGregor,2248
Ewan_McGregor,621
F1,203
Fashion,248
FernandoSolanas,191
Ferraci,695
Food,499
FrancescodaMosto,271
GAKKI,160
Garden,1604
Ghibli,5314
Ginga,486
Gordon,1332
GusVanSant,602
HBO,2477
HK电台,167
HP,4992
Hamilton,436
HarryPotter,35086
Heddy_Honigmann,1500
Helvetica,3279
Henri-Georges_Clouzot,1855
Hey!Say!JUMP,189
HughLaurie,500
IMAX,10784
IT,622
India,441
IndieGame,5454
InsideTheActorsStudio,979
Italy,271
Iverson,471
J.K.Rowling,766
JRRTolkien,195
JYJ,568
JacquesPerrin,360
JakeGyllenhaal,2955
JamesBalog,2230
JamesFranco,602
JamesMay,470
